127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005062
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005486
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 200, 0.000883
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 200, 0.001709
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 200, 0.001625
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003339
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.009202
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 200, 0.006964
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/js/share.js, HTTP/1.1, 200, 0.003707
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/images/favicon.ico, HTTP/1.1, 200, 0.000921
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 200, 0.000801
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/images/background.jpg, HTTP/1.1, 200, 0.000477
127.0.0.1, 2018-07-05 12:29:46, GET, /Fitters/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001285
127.0.0.1, 2018-07-05 12:29:48, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 200, 0.001228
127.0.0.1, 2018-07-05 12:29:48, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 200, 0.001836
127.0.0.1, 2018-07-05 12:29:48, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 200, 0.000944
127.0.0.1, 2018-07-05 12:31:35, GET, /admin/default/design/Fitters, HTTP/1.1, 200, 0.117375
